클러스터별 평균 상관계수:
Cluster 2: 0.8686
Cluster 6: 0.8773
Cluster 0: 0.8784
Cluster 4: 0.8925
Cluster 3: 0.9012
Cluster 7: 0.9017

enbid_pci,cluster,accuracy,category
37810_104,3,0.8695376088334595,매우 좋음
34782_201,3,0.8782727337813423,매우 좋음
37087_339,3,0.8851353055916127,매우 좋음
34682_281,3,0.8873900274011685,매우 좋음
34776_180,3,0.8959095757562074,매우 좋음
37929_42,3,0.8960929031392619,매우 좋음
34772_164,3,0.8961974001784565,매우 좋음
37104_223,3,0.8963118061251407,매우 좋음
37112_423,3,0.8971066507925254,매우 좋음
37810_474,3,0.8974005654581624,매우 좋음
36483_74,3,0.8979491327527243,매우 좋음
34771_217,3,0.9031355312388802,매우 좋음
34557_285,3,0.908554905562269,매우 좋음
37110_98,3,0.9090684412870778,매우 좋음
36481_54,3,0.9101421430175705,매우 좋음
34557_267,3,0.9139503205260839,매우 좋음
36471_247,3,0.9149988011174219,매우 좋음
36481_75,3,0.9160779785049806,매우 좋음
35539_73,3,0.9175061012267534,매우 좋음
37102_258,3,0.9184589249482469,매우 좋음
34343_88,3,0.9186103258363786,매우 좋음
34560_451,3,0.9195716070889682,매우 좋음
35723_125,3,0.9265315458387217,매우 좋음
37081_177,3,0.9276091286515177,매우 좋음
34102_174,3,0.9299082822346557,매우 좋음
34713_59,3,0.9300607906181335,매우 좋음
37114_153,3,0.9301620688545901,매우 좋음
34768_270,3,0.9308137166462188,매우 좋음
37099_121,3,0.9319348744262856,매우 좋음
46384_61,3,0.9409746439522289,매우 좋음
37930_416,3,0.9418683544483526,매우 좋음
34487_88,3,0.9428415833773913,매우 좋음
37102_178,3,0.9433769596912278,매우 좋음
34553_97,3,0.9435936404430123,매우 좋음
34784_143,3,0.9438258530080239,매우 좋음
37104_257,3,0.9442297740227485,매우 좋음
34785_258,3,0.9463106316370216,매우 좋음
34472_49,3,0.9471222298430879,매우 좋음
34787_222,3,0.9496104490290775,매우 좋음
34554_318,3,0.9510710061214777,매우 좋음
34792_401,3,0.9512086857814934,매우 좋음
34787_151,3,0.9547740194984782,매우 좋음
34487_33,3,0.9562741276318927,매우 좋음
34786_238,3,0.957393927000979,매우 좋음
36127_35,3,0.9579240717019104,매우 좋음
37111_64,3,0.9580735189387476,매우 좋음
34768_22,3,0.958223958455271,매우 좋음
34332_393,3,0.960553209207725,매우 좋음
33011_221,3,0.9608515894151481,매우 좋음
37102_113,3,0.9626447448987154,매우 좋음
35725_223,3,0.9642693962012306,매우 좋음
34776_236,3,0.965160618347242,매우 좋음
34771_284,3,0.9699369499295605,매우 좋음
34781_274,3,0.9710719207060775,매우 좋음
34763_380,3,0.972425095734205,매우 좋음
37930_10,3,0.9738983862798563,매우 좋음
34805_306,3,0.9788528287814071,매우 좋음
37061_171,4,0.6375890644711796,허용 가능
36465_140,4,0.7396199246901637,좋음
37057_277,4,0.7852337490280915,좋음
37810_350,4,0.7875019137425803,좋음
34761_91,4,0.7884636612139211,좋음
37066_249,4,0.7919933058029154,좋음
37861_255,4,0.7970318542053769,좋음
37812_273,4,0.8007490586656809,매우 좋음
37079_330,4,0.8009675409350062,매우 좋음
37064_284,4,0.8029547881443766,매우 좋음
36465_126,4,0.8031755487072956,매우 좋음
36465_168,4,0.8068053045352426,매우 좋음
37079_158,4,0.8075521831503062,매우 좋음
34793_460,4,0.8082032174485946,매우 좋음
34486_16,4,0.8125379595544321,매우 좋음
40155_225,4,0.8195784225414798,매우 좋음
37676_365,4,0.8211455643205734,매우 좋음
37108_430,4,0.8227973073566798,매우 좋음
34341_132,4,0.8243685288142444,매우 좋음
35577_425,4,0.8245929097199252,매우 좋음
33433_118,4,0.8258872386823806,매우 좋음
37061_226,4,0.8276625886728117,매우 좋음
36465_304,4,0.8339974494668425,매우 좋음
37067_182,4,0.846205713979332,매우 좋음
60193_104,4,0.8537943199781817,매우 좋음
33196_45,4,0.8627512395249644,매우 좋음
40155_166,4,0.8720865898713652,매우 좋음
37063_228,4,0.8727581805787921,매우 좋음
34780_283,4,0.8729221237975052,매우 좋음
37109_51,4,0.873386979207017,매우 좋음
35539_78,4,0.8756023522702547,매우 좋음
36476_209,4,0.8786852707307424,매우 좋음
37106_322,4,0.8787440706550738,매우 좋음
34764_114,4,0.8801719339226094,매우 좋음
36475_40,4,0.8820810168755073,매우 좋음
37818_162,4,0.882171923127558,매우 좋음
35723_279,4,0.8859103576632841,매우 좋음
37109_17,4,0.8891004594190192,매우 좋음
34484_67,4,0.8912950005582121,매우 좋음
37060_194,4,0.8927213373773251,매우 좋음
34768_169,4,0.8931238203051334,매우 좋음
34791_440,4,0.8952376751375104,매우 좋음
34490_265,4,0.8984159394686564,매우 좋음
37066_268,4,0.8993714572161986,매우 좋음
37114_177,4,0.8997793367324307,매우 좋음
